10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
10,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
10,0,11,0,6,6,6,6,0,0,9,9,9,9,8,9,9,9,9,8,9,9,9,9,9,9,9,0,0,10,
10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,0,0,10,
10,9,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,0,0,0,11,0,10,
10,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,
10,9,9,0,6,0,9,9,9,9,9,9,8,9,9,9,9,9,9,9,0,0,0,0,0,9,9,0,0,10,
10,0,9,0,6,0,0,0,0,0,0,0,0,10,10,10,10,10,10,9,6,6,6,0,0,0,9,0,0,10,
10,0,9,0,6,0,0,0,0,0,0,0,0,10,10,10,10,10,10,9,6,6,6,0,0,0,9,0,0,10,
10,0,9,9,6,0,0,0,0,0,0,0,0,10,10,10,10,10,10,9,6,6,6,0,0,0,9,0,0,10,
10,0,0,9,6,0,0,0,0,0,0,0,0,10,10,10,10,10,10,9,6,6,6,0,0,0,0,9,0,10,
10,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,9,9,9,9,6,6,6,0,0,0,0,9,0,10,
10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,
10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,
10,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,9,0,10,
10,0,0,0,0,12,9,0,0,0,0,0,9,9,9,9,9,0,0,0,0,8,8,0,0,0,9,9,0,10,
10,0,0,0,0,9,9,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,10,
10,0,9,9,9,9,0,0,0,0,0,0,9,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
